
🚀 猫课电商管理落地班核心工具
📍 访问地址: http://localhost:5009
📊 模块数量: 6
🤖 默认模型: gemini-3-flash-preview

 * Serving Flask app 'app'
 * Debug mode: off
Address already in use
Port 5009 is in use by another program. Either identify and stop that program, or start the server with a different port.
2026-01-04 15:04:42,204 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/knowledge_files?select=%2A&module_id=eq.kpi&order=created_at.desc "HTTP/2 200 OK"
2026-01-04 15:04:42,305 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/module_prompts?select=prompt&module_id=eq.kpi "HTTP/2 200 OK"
2026-01-04 15:04:42,307 [INFO] modules.ai_service: [CloseAI] 流式请求，模型: gemini-3-flash-preview
2026-01-04 15:04:45,150 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.market_price "HTTP/2 200 OK"
2026-01-04 15:04:45,248 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:04:45,413 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.e553068b-2220-4cf8-a899-89f614797530 "HTTP/2 200 OK"
2026-01-04 15:04:51,118 [INFO] modules.ai_service: [CloseAI] 流式响应完成
2026-01-04 15:04:51,408 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.e553068b-2220-4cf8-a899-89f614797530 "HTTP/2 200 OK"
2026-01-04 15:04:51,546 [INFO] httpx: HTTP Request: PATCH https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?id=eq.e553068b-2220-4cf8-a899-89f614797530&credits=eq.1000 "HTTP/2 200 OK"
2026-01-04 15:04:51,770 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.e553068b-2220-4cf8-a899-89f614797530 "HTTP/2 200 OK"
2026-01-04 15:04:51,881 [INFO] httpx: HTTP Request: PATCH https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?id=eq.e553068b-2220-4cf8-a899-89f614797530&credits=eq.1000 "HTTP/2 200 OK"
2026-01-04 15:04:52,184 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.e553068b-2220-4cf8-a899-89f614797530 "HTTP/2 200 OK"
2026-01-04 15:04:52,315 [INFO] httpx: HTTP Request: PATCH https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?id=eq.e553068b-2220-4cf8-a899-89f614797530&credits=eq.1000 "HTTP/2 200 OK"
2026-01-04 15:06:27,670 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:06:27,923 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.89a378bf-ef0a-4072-a525-05ba3af8c6da "HTTP/2 200 OK"
2026-01-04 15:06:50,737 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.kpi "HTTP/2 200 OK"
2026-01-04 15:06:50,851 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:06:51,237 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.89a378bf-ef0a-4072-a525-05ba3af8c6da "HTTP/2 200 OK"
2026-01-04 15:06:58,026 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.organization "HTTP/2 200 OK"
2026-01-04 15:06:58,143 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:06:58,343 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.89a378bf-ef0a-4072-a525-05ba3af8c6da "HTTP/2 200 OK"
2026-01-04 15:06:59,963 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.kpi "HTTP/2 200 OK"
2026-01-04 15:07:00,083 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:07:00,246 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.89a378bf-ef0a-4072-a525-05ba3af8c6da "HTTP/2 200 OK"
2026-01-04 15:08:02,565 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.market_price "HTTP/2 200 OK"
2026-01-04 15:08:02,701 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:08:02,916 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.e553068b-2220-4cf8-a899-89f614797530 "HTTP/2 200 OK"
2026-01-04 15:08:10,458 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:08:10,598 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.e553068b-2220-4cf8-a899-89f614797530 "HTTP/2 200 OK"
